t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
1,0.49050295651153,0.0,0.49050295651153,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
2,0.49050295651153,0.0,0.49050295651153,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
3,0.41913879685514,0.0,0.41913879685514,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
4,0.41913879685514,0.0,0.41913879685514,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
5,0.289979719167165,0.0,0.289979719167165,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
6,0.289979719167165,0.0,0.289979719167165,0.0,0.0,0.0,0.0,1.78,0.14,0.06,0.0,0.0,0.0
7,0.3166156379121575,0.0,0.3166156379121575,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
8,0.3166156379121575,0.0,0.3166156379121575,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
9,0.3412412986386575,0.0,0.3412412986386575,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
10,0.3412412986386575,0.0,0.3412412986386575,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
11,0.161323205983813,0.0,0.161323205983813,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
12,0.161323205983813,0.0,0.161323205983813,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
13,0.14071806129429176,0.0,0.14071806129429176,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
14,0.14071806129429176,0.0,0.14071806129429176,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
15,0.101518029933739,0.0,0.101518029933739,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
16,0.101518029933739,0.0,0.101518029933739,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
17,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
18,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
19,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
20,0.093979562364402,0.0,0.093979562364402,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
21,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
22,0.07287185317025825,0.0,0.07287185317025825,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
23,0.08242057875808526,0.0,0.08242057875808526,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
24,0.08242057875808526,0.0,0.08242057875808526,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
25,0.052266708480737,0.0,0.052266708480737,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
26,0.052266708480737,0.0,0.052266708480737,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
27,0.16886167355315,0.0,0.16886167355315,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
28,0.16886167355315,0.0,0.16886167355315,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
29,0.0859385302904425,0.0,0.0859385302904425,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
30,0.0859385302904425,0.0,0.0859385302904425,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
31,0.0829231432627075,0.0,0.0829231432627075,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
32,0.0829231432627075,0.0,0.0829231432627075,0.0,0.0,0.0,0.0,1.7800000000000005,0.14,0.06,0.0,0.0,0.0
33,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,1.7514331755267234,0.24,0.06,0.0,0.0,0.0
34,0.1085539329984535,0.0,0.0,0.0,0.0,0.1085539329984535,0.0,1.722866351053446,0.24,0.06,0.0,0.0,0.0
35,0.1256411261556175,0.005614550993020367,0.0,0.0,0.0,0.12002657516259714,0.0,1.6912804102211836,0.24,0.06,0.00561455099302037,0.0,0.0
36,0.1256411261556175,0.012151338262547119,0.0,0.0,0.0,0.11348978789307039,0.0,1.6614146765651123,0.24,0.06,0.01215133826254712,0.0,0.0
37,0.12815394867873,0.015467583712841123,0.0,0.0,0.0,0.11268636496588888,0.0,1.6317603699951415,0.24,0.06,0.015467583712841126,0.0,0.0
38,0.12815394867873,0.016860782126749133,0.0,0.0,0.0,0.11129316655198088,0.0,1.6024726945867256,0.24,0.06,0.01686078212674913,0.0,0.0
39,0.08242057875808526,0.01255985436560422,0.0,0.0,0.0,0.06986072439248103,0.0,1.5840882934308094,0.24,0.06,0.012559854365604223,0.0,0.0
40,0.08242057875808526,0.013997712719991857,0.0,0.0,0.0,0.0684228660380934,0.0,1.5660822760523638,0.24,0.06,0.013997712719991853,0.0,0.0
41,0.08744622380430975,0.018884977009879227,0.0,0.0,0.0,0.06856124679443051,0.0,1.5480398426854085,0.24,0.06,0.018884977009879234,0.0,0.0
42,0.08744622380430975,0.023789767152712277,0.0,0.0,0.0,0.06365645665159747,0.0,1.531288143566567,0.24,0.06,0.023789767152712277,0.0,0.0
43,0.273395090514625,0.060085426156813344,0.0,0.0,0.0,0.21330966435781168,0.0,1.475154021367143,0.24,0.06,0.06008542615681334,0.0,0.0
44,0.273395090514625,0.11729018800235694,0.0,0.0,0.0,0.15610490251226808,0.0,1.4340737838639146,0.24,0.06,0.11729018800235694,0.0,0.0
45,0.17388731859937476,0.15860886579228253,0.0,0.0,0.0,0.015278452807092224,0.0,1.430053138388364,0.24,0.06,0.15860886579228253,0.0,0.0
