case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,E_share_out_kWh,E_share_in_kWh,Curt_frac_of_PV,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,Cost_total_with_p2p_EUR,Cost_total_with_p2p_min_step_EUR,Cost_total_with_p2p_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,E_share_out_kWh_COMM,E_share_in_kWh_COMM,Curt_frac_of_PV_COMM,Simul_frac_of_import
p2p_fee_01_equal_export,A,639.6659375,10.623301686840307,627.2841358131598,0.0,0.0,1.4249999999999998,0.0,0.26749999999999985,0.601,0.0,0.5,0.5,1.805,156.82103395328994,0.0,0.16326651801376002,156.8737339532899,-0.022609999999999998,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_fee_01_equal_export,B,639.6659375,10.623301686840307,628.6161358131596,0.0,0.0,0.7600000000000002,0.0,0.601,0.26749999999999985,0.0,0.2,0.2,0.805,157.1540339532899,0.0,0.16326651801376002,157.1100189532899,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_fee_01_equal_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_fee_02_weighted_export,A,639.6659375,14.872622361576422,623.0348151384235,0.0,0.0,1.4249999999999998,0.0,0.26749999999999985,0.601,0.0,0.5,0.5,1.805,155.75870378460587,0.0,0.16197312521926402,155.8114037846059,-0.022609999999999998,0.16197312521926402,2.5915700035082243,0.0,2.5915700035082243,0.0,0.0,,,,,,,
p2p_fee_02_weighted_export,B,639.6659375,6.373981012104179,632.8654564878957,0.0,0.0,0.7600000000000002,0.0,0.601,0.26749999999999985,0.0,0.2,0.2,0.805,158.21636412197392,0.0,0.16455991080825602,158.17234912197392,0.0,0.16455991080825602,2.6329585729320963,0.0,2.6329585729320963,0.0,0.0,,,,,,,
p2p_fee_02_weighted_export,_COMMUNITY,1279.331875,21.2466033736806,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_fee_03_fallback_instant_export,A,639.6659375,10.623301686840307,627.2841358131598,0.0,0.0,1.4249999999999998,0.0,0.26749999999999985,0.601,0.0,0.5,0.5,1.805,156.82103395328994,0.0,0.16326651801376002,156.8737339532899,-0.022609999999999998,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_fee_03_fallback_instant_export,B,639.6659375,10.623301686840307,628.6161358131596,0.0,0.0,0.7600000000000002,0.0,0.601,0.26749999999999985,0.0,0.2,0.2,0.805,157.1540339532899,0.0,0.16326651801376002,157.1100189532899,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_fee_03_fallback_instant_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
p2p_fee_04_fallback_mean_export,A,639.6659375,10.623301686840307,627.2841358131598,0.0,0.0,1.4249999999999998,0.0,0.26749999999999985,0.601,0.0,0.5,0.5,1.805,156.82103395328994,0.0,0.16326651801376002,156.8737339532899,-0.022609999999999998,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_fee_04_fallback_mean_export,B,639.6659375,10.623301686840307,628.6161358131596,0.0,0.0,0.7600000000000002,0.0,0.601,0.26749999999999985,0.0,0.2,0.2,0.805,157.1540339532899,0.0,0.16326651801376002,157.1100189532899,0.0,0.16326651801376002,2.6122642882201603,0.0,2.6122642882201603,0.0,0.0,,,,,,,
p2p_fee_04_fallback_mean_export,_COMMUNITY,1279.331875,21.246603373680614,1255.9002716263194,0.0,0.0,2.1850000000000005,0.0,0.0,0.0,0.0,0.7,0.7,2.61,313.97506790657985,0.0,0.32653303602752004,,,,5.224528576440321,0.0,5.224528576440321,0.0,0.0,1255.9002716263194,0.0,0.0,0.0,0.0,0.0,0.0
