t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y,P_curt,allow_export
1,0.58073974597962,0.0,0.25,0.05,0.0,0.0,0.0,0.58073974597962,2.3471737510579946,0,0,0.0,1
2,0.59294933551274,0.0,0.25,0.05,0.0,0.0,0.0,0.59294933551274,2.1911344522388525,0,0,0.0,1
3,0.6039902489696425,0.0,0.25,0.05,0.0,0.0,0.0,0.6039902489696425,2.03218964987842,0,0,0.0,1
4,0.5756344768045625,0.0,0.25,0.05,0.0,0.0,0.0,0.5756344768045625,1.880706892824588,0,0,0.0,1
5,0.5907657565282275,0.0,0.25,0.05,0.0,0.0,0.0,0.5907657565282275,1.7252422200540019,0,0,0.0,1
6,0.58350766300224,0.0,0.25,0.05,0.0,0.0,0.0,0.58350766300224,1.5716875718955177,0,0,0.0,1
7,0.57489636559853,0.0,0.25,0.05,0.0,0.0,0.0,0.57489636559853,1.4203990546327465,0,0,0.0,1
8,0.5790174864988775,0.0,0.25,0.05,0.0,0.0,0.0,0.5790174864988775,1.268026031869884,0,0,0.0,1
9,0.5852606771165675,0.0,0.25,0.05,0.0,0.0,0.0,0.5852606771165675,1.1140100642076294,0,0,0.0,1
10,0.600730257809665,0.0,0.25,0.05,0.0,0.0,0.0,0.600730257809665,0.9559231542577176,0,0,0.0,1
11,0.585598978086,0.0,0.25,0.05,0.0,0.0,0.0,0.585598978086,0.8018181600245597,0,0,0.0,1
12,0.610971550793365,0.0,0.25,0.05,0.0,1.1102230246251565e-16,0.0,0.6109715507933651,0.6410361729736742,0,0,0.0,1
13,0.60162214218362,0.0,0.25,0.05,0.0,0.0,0.0,0.60162214218362,0.4827145566095637,0,0,0.0,1
14,0.5946715949934825,0.0,0.25,0.05,0.0,0.0,0.0,0.5946715949934825,0.32622203161127883,0,0,0.0,1
15,0.584645584444875,0.0,0.25,0.05,0.0,0.0,0.0,0.584645584444875,0.1723679304415749,0,0,0.0,1
16,0.564101489210305,0.0,0.25,0.05,0.0,0.0,0.0,0.564101489210305,0.02392017012307357,0,0,0.0,1
17,0.5745580646290975,0.0,0.25,0.05,0.4836614181614179,0.0,0.0,0.09089664646767964,-0.0,0,1,0.0,1
18,0.562471493630315,0.0,0.25,0.05,0.562471493630315,0.0,0.0,0.0,-0.0,0,1,0.0,1
19,0.5623792297295624,0.0,0.25,0.05,0.5623792297295624,0.0,0.0,0.0,0.0,0,1,0.0,1
